query6: Se desea un listado de todas las parejas de productos que aparezcan en más de un carro de la compra
 productcode | productcode | cestas 
 S32_4289    | S10_4698    |      7
 S24_4048    | S24_2840    |     17
 S24_4620    | S12_3990    |     15
 S18_2581    | S700_4002   |     14
 S18_3232    | S18_4600    |     11
 S18_2581    | S18_2625    |     11
 S18_2432    | S24_2300    |     22
 S12_3990    | S24_2000    |      4
 S18_1342    | S18_2957    |     13
 S32_2206    | S18_1984    |      4
 S12_4675    | S18_1589    |      7
 S24_3371    | S10_1678    |      2
 S700_2824   | S18_2319    |      8
 S18_2949    | S18_2325    |      5
 S32_1268    | S32_3522    |     19
 S18_3140    | S12_3148    |     13
 S18_3029    | S32_4289    |      4
 S24_4258    | S18_2432    |      2
 S18_1367    | S18_2957    |     16
 S50_1341    | S24_3949    |     18
 S18_2238    | S32_3207    |     13
 S18_3320    | S18_4933    |      4
 S700_3167   | S24_2841    |     10
 S24_1937    | S24_2766    |     10
 S24_1444    | S12_1108    |      8
 S18_2238    | S700_2824   |      6
 S32_2206    | S32_4485    |     22
 S32_2206    | S18_2870    |      2
 S18_3685    | S18_1749    |      4
 S10_4757    | S24_3949    |      7
 S18_1662    | S18_3029    |     20
 S72_3212    | S700_2047   |      6
 S32_3522    | S18_3320    |      6
 S12_3148    | S12_3891    |     21
 S700_2834   | S32_2206    |      2
 S24_3371    | S12_4675    |     14
 S18_3782    | S24_2000    |      2
 S32_3207    | S24_1444    |     17
 S18_1749    | S24_3969    |     18
 S12_3891    | S18_2238    |      8
 S32_1268    | S18_4668    |     16
 S18_3140    | S12_3891    |     16
 S18_2325    | S24_3191    |     11
 S18_2957    | S24_3969    |      5
 S12_3380    | S18_3685    |      6
 S24_2360    | S24_4278    |      2
 S18_3782    | S10_4698    |      5
 S24_3969    | S24_2766    |     13
 S24_1444    | S10_4962    |      4
 S24_3969    | S18_3320    |      8
 S18_2325    | S18_3685    |      2
 S24_3969    | S24_3191    |     13
 S18_1889    | S12_3990    |     18
 S10_4757    | S700_3167   |      3
 S10_4698    | S18_3782    |      5
 S12_3380    | S18_1889    |     20
 S18_2432    | S10_4962    |     22
 S18_3029    | S700_1938   |      6
 S700_2824   | S10_4962    |     17
 S18_1984    | S18_1889    |     13
 S700_3962   | S18_2581    |      3
 S24_2360    | S18_3782    |     20
 S24_3371    | S24_1578    |      2
 S18_3232    | S24_3856    |     19
 S32_3522    | S18_3232    |      7
 S24_1578    | S10_2016    |     21
 S12_3891    | S32_2509    |      5
 S18_2319    | S32_3522    |      8
 S18_3278    | S18_3782    |     16
 S18_4600    | S32_1268    |     21
 S18_3259    | S12_3891    |     16
 S18_2581    | S700_3505   |      3
 S18_3259    | S24_4048    |      6
 S24_3151    | S72_1253    |      7
 S18_3685    | S18_1589    |     20
 S24_2972    | S32_4485    |      4
 S18_3029    | S700_3167   |      8
 S18_3136    | S18_4409    |      4
 S700_2047   | S24_3949    |     16
 S50_1341    | S24_3816    |      4
 S18_4027    | S18_2319    |      9
 S18_3685    | S24_2887    |      5
 S18_4522    | S700_1138   |     18
 S24_2360    | S24_1578    |      9
 S18_1097    | S18_2325    |      4
 S18_1342    | S18_4409    |      9
 S18_2870    | S18_4409    |      5
 S700_3167   | S18_2625    |      6
 S24_4258    | S18_4668    |     13
 S700_1691   | S700_2047   |      8
 S12_3380    | S18_3782    |      7
 S24_1046    | S24_3969    |     10
 S18_2795    | S18_2325    |     19
 S24_2972    | S18_1749    |      2
 S24_3816    | S32_4289    |      2
 S24_3151    | S700_4002   |      4
 S18_4721    | S10_1678    |      4
 S18_4600    | S18_2319    |     12
 S24_1578    | S12_1099    |      5
 S18_4027    | S12_3891    |     17
 S18_1367    | S24_2022    |     18
 S700_3167   | S24_4278    |     20
 S18_1589    | S18_2248    |      6
 S12_3990    | S12_2823    |      7
 S24_3816    | S72_3212    |     12
 S72_3212    | S24_2011    |     22
 S18_3278    | S18_2870    |      2
 S12_4473    | S12_3891    |      6
 S24_1578    | S700_2466   |      3
 S18_1662    | S24_4278    |      7
 S24_2840    | S18_2238    |     21
 S18_2238    | S50_1514    |      8
 S32_4485    | S700_2834   |      3
 S24_2000    | S24_2360    |      5
 S24_2887    | S18_3232    |      2
 S18_1129    | S18_3278    |      7
 S18_2581    | S10_2016    |     11
 S24_1628    | S18_1589    |     21
 S18_2319    | S24_2840    |     23
 S24_4258    | S12_4473    |      4
 S24_2360    | S24_3856    |      5
 S24_4620    | S18_1889    |      8
 S18_4522    | S18_3856    |      4
 S32_4289    | S72_1253    |      5
 S18_3856    | S700_1691   |      7
 S18_4409    | S18_1984    |      2
 S24_2000    | S18_4721    |      2
 S50_1392    | S10_4962    |      4
 S18_3232    | S18_1984    |     20
 S12_1108    | S10_4757    |      4
 S700_3167   | S12_2823    |      2
 S24_2841    | S18_2581    |      6
 S12_2823    | S24_1578    |     19
 S24_3371    | S24_2972    |     16
 S10_2016    | S24_1578    |     21
 S12_3148    | S32_2509    |      3
 S24_2300    | S32_1268    |     23
 S700_4002   | S72_1253    |     16
 S24_3949    | S700_1138   |      4
 S18_3232    | S10_4962    |     11
 S24_2887    | S24_2766    |     22
 S24_2300    | S18_4027    |      4
 S32_2206    | S12_4675    |      4
 S24_2840    | S18_2319    |     23
 S12_1666    | S32_2509    |      3
 S24_4258    | S18_2248    |      5
 S32_4485    | S18_4721    |     15
 S18_4600    | S24_4048    |      2
 S700_3505   | S700_1138   |     21
 S18_2248    | S18_4409    |     20
 S10_2016    | S700_2834   |     13
 S18_1342    | S24_2022    |     19
 S24_2000    | S24_1578    |     17
 S700_3167   | S18_2581    |     17
 S18_2870    | S24_2887    |      7
 S700_2466   | S700_2047   |     14
 S50_1392    | S700_2824   |      2
 S10_1678    | S700_3167   |      6
 S24_1578    | S12_2823    |     19
 S700_2834   | S24_2360    |      3
 S10_4962    | S12_4473    |      7
 S10_2016    | S700_1691   |      8
 S24_2972    | S12_1099    |     11
 S24_1937    | S18_3320    |      9
 S32_3207    | S18_2238    |     13
 S18_2432    | S12_4473    |     13
 S24_1628    | S24_3371    |      2
 S18_3136    | S24_2300    |      3
 S18_2319    | S18_4668    |      6
 S18_2957    | S18_2432    |      7
 S24_2841    | S18_3856    |     23
 S24_1578    | S32_1374    |     12
 S24_3420    | S24_4278    |      6
 S24_4620    | S50_4713    |     15
 S18_2238    | S24_2840    |     21
 S24_4048    | S32_2509    |     18
 S18_2325    | S18_4409    |     18
 S18_3482    | S18_1889    |     12
 S12_4473    | S18_2319    |     22
 S18_2795    | S18_1097    |      5
 S700_2824   | S24_2840    |      7
 S18_4668    | S32_1268    |     16
 S24_2300    | S12_3148    |      6
 S18_2625    | S18_4721    |      2
 S700_3505   | S10_4757    |     14
 S18_3685    | S18_4409    |      4
 S24_2841    | S24_1785    |      9
 S10_1678    | S24_2360    |     12
 S700_2466   | S700_2834   |     15
 S18_3232    | S32_3522    |      7
 S24_2360    | S700_3167   |      2
 S18_4409    | S18_2870    |      5
 S18_3029    | S700_2466   |     10
 S18_3232    | S18_2319    |     27
 S18_3320    | S32_1268    |      3
 S32_4485    | S24_2972    |      4
 S24_3420    | S18_3856    |     22
 S24_4258    | S18_1749    |      5
 S18_2625    | S12_2823    |     14
 S18_1367    | S18_2795    |     19
 S24_2011    | S18_1662    |      2
 S18_3278    | S50_4713    |     10
 S18_1589    | S24_2972    |     12
 S24_3856    | S18_3278    |     13
 S12_3990    | S12_3380    |     23
 S18_4600    | S10_4962    |     25
 S18_1889    | S50_4713    |      2
 S18_2795    | S18_1984    |      2
 S700_4002   | S700_2466   |     25
 S700_2047   | S24_1785    |      7
 S24_3432    | S18_1367    |      2
 S24_1578    | S32_4485    |      9
 S24_1937    | S18_2248    |     19
 S12_4675    | S18_3782    |      5
 S12_3148    | S700_3505   |      5
 S12_3148    | S12_1108    |     21
 S24_2972    | S24_4620    |     10
 S12_3990    | S18_3482    |     19
 S24_2022    | S18_2795    |     24
 S24_3432    | S18_1342    |      4
 S18_1342    | S10_1949    |      7
 S18_1129    | S24_3191    |      6
 S700_3962   | S18_3856    |      8
 S24_3949    | S700_2610   |      7
 S24_2300    | S24_2840    |     17
 S12_3990    | S24_1578    |      5
 S24_1046    | S24_2887    |     18
 S50_1514    | S700_1138   |      6
 S18_2319    | S18_2238    |     19
 S18_1662    | S24_3816    |     15
 S12_1108    | S18_3259    |     14
 S700_1138   | S18_2581    |      2
 S700_1691   | S18_3856    |      7
 S18_1984    | S18_3685    |     18
 S24_3371    | S24_4620    |     19
 S24_1578    | S24_4620    |      4
 S10_1949    | S18_4668    |     18
 S18_4721    | S12_3380    |     11
 S12_4473    | S32_3207    |     10
 S700_1691   | S12_2823    |      2
 S18_1129    | S50_4713    |      4
 S10_4757    | S72_1253    |     15
 S10_2016    | S700_4002   |      6
 S10_4757    | S700_4002   |      7
 S24_4048    | S12_3148    |     10
 S24_4048    | S18_2319    |     14
 S24_1046    | S18_1889    |      3
 S12_1666    | S18_2325    |      2
 S72_1253    | S24_2011    |      3
 S18_4522    | S12_1108    |      8
 S18_3232    | S24_3191    |      4
 S24_2972    | S18_1129    |     18
 S18_4933    | S18_1129    |      3
 S18_1589    | S12_1099    |      4
 S24_3969    | S18_2795    |     13
 S18_3482    | S24_3371    |     23
 S18_4522    | S32_3207    |      4
 S12_3148    | S18_4522    |      8
 S50_4713    | S24_2972    |      3
 S12_4675    | S24_2766    |      3
 S18_2248    | S18_2870    |      4
 S18_4668    | S24_4258    |     13
 S24_2360    | S10_4698    |      7
 S24_3856    | S24_2360    |      5
 S50_1341    | S700_4002   |     18
 S18_1129    | S24_3432    |      7
 S24_2766    | S24_1046    |     21
 S12_4675    | S12_3380    |     21
 S24_3151    | S32_3207    |      3
 S24_3151    | S18_2581    |      2
 S24_4278    | S24_3420    |      6
 S10_4757    | S24_3420    |     13
 S24_1578    | S18_2625    |     23
 S18_3259    | S32_2509    |      2
 S700_1138   | S24_1785    |      2
 S18_2432    | S18_2319    |     17
 S50_1341    | S700_1691   |     28
 S32_3207    | S24_3151    |      3
 S24_4278    | S700_1691   |     21
 S18_2432    | S24_1444    |      9
 S700_1691   | S700_2834   |     20
 S18_3320    | S24_3969    |      8
 S24_2766    | S24_1937    |     10
 S18_2432    | S18_3136    |      7
 S24_2887    | S18_2795    |      6
 S24_3949    | S10_2016    |      6
 S700_1938   | S700_1138   |     12
 S24_3420    | S72_1253    |     24
 S18_2957    | S18_2949    |     23
 S18_4668    | S12_3148    |      5
 S700_3962   | S700_1938   |     17
 S18_2795    | S18_3136    |     11
 S18_1749    | S18_2325    |     19
 S32_3522    | S12_1108    |      2
 S700_2834   | S24_3949    |     12
 S18_1097    | S32_3522    |     18
 S18_4027    | S32_3207    |     19
 S12_4473    | S24_1444    |     21
 S18_1367    | S12_1666    |      6
 S24_1785    | S32_1374    |     17
 S32_1374    | S12_3990    |      2
 S700_3167   | S32_1374    |     13
 S700_1138   | S700_3962   |     20
 S12_1108    | S12_3891    |     24
 S32_2206    | S24_3371    |     12
 S24_4258    | S10_4962    |      3
 S18_3320    | S18_2957    |     20
 S700_1138   | S24_3420    |      5
 S18_4721    | S18_3232    |      5
 S10_2016    | S32_4289    |      8
 S700_1138   | S24_3949    |      4
 S18_1984    | S18_1749    |      2
 S24_2000    | S12_2823    |     11
 S18_3278    | S24_1578    |      4
 S18_3259    | S24_2011    |     19
 S18_1662    | S18_2581    |      9
 S18_3278    | S24_3371    |     21
 S18_2870    | S18_4933    |      6
 S24_3949    | S32_1374    |      8
 S18_4933    | S18_2870    |      6
 S24_3949    | S18_2581    |     14
 S10_4698    | S700_3167   |      6
 S18_1097    | S24_2300    |      5
 S18_3029    | S50_1341    |      6
 S700_3167   | S10_4757    |      3
 S32_3207    | S18_2432    |      3
 S12_4675    | S24_3856    |     20
 S24_3816    | S18_3029    |     22
 S18_2949    | S18_3320    |     18
 S24_3191    | S18_1984    |      6
 S18_3136    | S32_1268    |      4
 S24_3816    | S24_2011    |     12
 S24_3191    | S18_3232    |      4
 S18_1589    | S18_3482    |      2
 S18_1097    | S18_3136    |     16
 S18_3782    | S18_4721    |     23
 S10_1678    | S18_3278    |      4
 S18_4933    | S18_2325    |     15
 S24_2840    | S12_1108    |      4
 S18_3029    | S700_2047   |     20
 S18_1589    | S24_4620    |      3
 S18_2581    | S700_1691   |     17
 S32_1268    | S12_1108    |      3
 S700_2047   | S18_3856    |     23
 S10_4757    | S18_3140    |      6
 S24_1046    | S18_2325    |     12
 S18_4933    | S24_1937    |     14
 S24_3816    | S24_3420    |     16
 S24_3371    | S18_2870    |      6
 S18_4409    | S18_1589    |      8
 S24_1785    | S700_1138   |      2
 S24_2841    | S24_3816    |     17
 S24_2022    | S18_2325    |     20
 S50_1392    | S32_3207    |     18
 S18_2795    | S18_3320    |     13
 S24_4620    | S12_2823    |      7
 S24_4048    | S18_3232    |     15
 S700_2047   | S10_4757    |     15
 S700_3167   | S32_4485    |      2
 S12_4473    | S24_4258    |      4
 S18_3278    | S24_2360    |     11
 S24_3432    | S18_2795    |      4
 S18_4522    | S24_3816    |     10
 S18_3140    | S18_4027    |     10
 S18_3232    | S12_4473    |     21
 S18_2432    | S24_2022    |      2
 S24_3816    | S24_1785    |      4
 S24_3949    | S24_2841    |     18
 S18_1129    | S18_3685    |     17
 S700_2610   | S24_3816    |     16
 S700_3505   | S12_3148    |      5
 S24_2360    | S18_1889    |      3
 S18_2432    | S700_2824   |     11
 S18_3320    | S18_1097    |     10
 S10_4698    | S12_1099    |      3
 S18_3782    | S12_2823    |     10
 S18_2625    | S50_1341    |      6
 S18_1589    | S24_3969    |      3
 S18_3685    | S18_3482    |      2
 S24_3969    | S24_1046    |     10
 S24_4278    | S72_1253    |      4
 S700_1138   | S700_4002   |      4
 S18_2325    | S24_1046    |     12
 S24_3432    | S18_1749    |     10
 S700_1691   | S10_4757    |      2
 S72_3212    | S700_3505   |     25
 S700_1138   | S10_4757    |     14
 S18_1984    | S24_2972    |     17
 S10_1949    | S18_3320    |     12
 S24_2011    | S12_3148    |      8
 S18_4522    | S18_3140    |     21
 S24_4278    | S10_2016    |      9
 S24_4278    | S18_3856    |      4
 S18_1129    | S12_3990    |      9
 S24_2766    | S18_2795    |      5
 S32_2206    | S24_2360    |     21
 S18_4721    | S18_3278    |     20
 S700_1938   | S24_3151    |     12
 S18_2870    | S24_1046    |     12
 S24_3420    | S24_3949    |     19
 S72_3212    | S700_4002   |      3
 S24_2000    | S18_3782    |      2
 S12_3148    | S24_2011    |      8
 S10_4698    | S32_2206    |      7
 S24_2000    | S24_1785    |     10
 S18_2625    | S700_3167   |      6
 S24_3191    | S18_2870    |     10
 S10_4962    | S18_2432    |     22
 S18_1889    | S18_3482    |     12
 S32_3207    | S700_3962   |      3
 S24_2841    | S700_1138   |      6
 S24_2300    | S24_1444    |     12
 S12_4675    | S24_3191    |      3
 S24_2300    | S12_1666    |      8
 S24_2766    | S18_1984    |      6
 S700_2824   | S32_1268    |     21
 S24_2300    | S50_1392    |     11
 S24_3969    | S18_1589    |      3
 S12_2823    | S50_1341    |      2
 S12_3990    | S10_2016    |      3
 S10_4698    | S32_1374    |     14
 S24_3420    | S700_3505   |      4
 S700_2610   | S10_4757    |     16
 S18_3278    | S18_2625    |      3
 S18_4721    | S18_3482    |     21
 S24_3816    | S700_2466   |      7
 S10_4757    | S700_1138   |     14
 S18_2957    | S18_4600    |      7
 S700_1938   | S50_1514    |     13
 S32_4485    | S32_1374    |      3
 S24_1578    | S24_4278    |      6
 S24_2300    | S18_4600    |     18
 S18_2581    | S700_2047   |      4
 S50_1341    | S10_1678    |      6
 S24_2840    | S10_4962    |      8
 S24_4258    | S12_1666    |      6
 S18_4933    | S18_1589    |      9
 S18_1889    | S24_3371    |     15
 S24_1578    | S12_4675    |      3
 S18_4027    | S18_3232    |     10
 S24_4258    | S24_2840    |      2
 S18_2319    | S32_1268    |     14
 S24_2972    | S18_1589    |     12
 S18_2238    | S18_4668    |      4
 S18_2625    | S12_1099    |      4
 S24_2887    | S24_2022    |      8
 S18_1749    | S10_1949    |      2
 S18_1367    | S24_1046    |      2
 S32_2206    | S24_1578    |      8
 S18_3278    | S18_1984    |      6
 S18_3482    | S18_2870    |      2
 S72_3212    | S700_2466   |      2
 S24_2000    | S12_3990    |      4
 S50_1392    | S18_4522    |      2
 S24_2022    | S18_1749    |     14
 S700_3962   | S24_3151    |     19
 S18_4027    | S700_1938   |     10
 S32_1374    | S18_2625    |     14
 S18_3482    | S18_3278    |     24
 S700_2047   | S24_3151    |      7
 S10_1949    | S18_3136    |     18
 S12_1108    | S32_1268    |      3
 S18_4668    | S24_2840    |      4
 S50_1514    | S24_2840    |      6
 S12_3891    | S18_3232    |      3
 S32_3522    | S10_4962    |     17
 S32_3522    | S18_4600    |     19
 S24_3949    | S24_1785    |     17
 S24_4258    | S12_3148    |      5
 S18_4600    | S18_2432    |     19
 S700_1691   | S24_2841    |      8
 S18_2625    | S10_4698    |     24
 S700_3962   | S12_1108    |      7
 S12_3380    | S24_2972    |     13
 S18_4409    | S24_2766    |     16
 S24_3856    | S24_1046    |      4
 S700_3505   | S18_2581    |      3
 S10_2016    | S50_1341    |      8
 S700_2824   | S18_1097    |     15
 S700_2824   | S12_3148    |      6
 S18_3685    | S24_2972    |     13
 S50_1514    | S18_3140    |     14
 S12_3990    | S18_1889    |     18
 S12_3148    | S32_1268    |      5
 S10_4698    | S50_4713    |      7
 S18_2248    | S18_1589    |      6
 S18_1984    | S18_1129    |     25
 S700_1938   | S18_3259    |     22
 S24_3856    | S24_3432    |      4
 S18_1662    | S700_3505   |      6
 S24_2300    | S12_3891    |      2
 S12_4473    | S18_3140    |      2
 S24_3432    | S18_4409    |     14
 S24_1785    | S700_2610   |      4
 S24_2840    | S12_1666    |      2
 S18_3782    | S24_3856    |      9
 S700_1938   | S24_2011    |     19
 S18_3140    | S10_4757    |      6
 S18_2319    | S32_3207    |      8
 S24_4048    | S18_3140    |      6
 S24_3191    | S18_4409    |     16
 S72_3212    | S18_3856    |      8
 S24_2011    | S700_1938   |     19
 S32_2509    | S18_4027    |      8
 S24_4258    | S18_4409    |      3
 S700_3962   | S700_2047   |      6
 S18_1889    | S18_2625    |      3
 S18_2581    | S32_1374    |     19
 S18_2949    | S18_1342    |     11
 S24_1046    | S18_2795    |      5
 S24_2011    | S700_3962   |     21
 S700_1138   | S18_3029    |     11
 S18_2325    | S18_2795    |     19
 S18_2795    | S12_1666    |      3
 S50_1341    | S10_4698    |      7
 S700_2466   | S72_1253    |     13
 S18_3320    | S18_1749    |      8
 S32_2509    | S18_4668    |      2
 S18_1662    | S24_1785    |     10
 S24_1785    | S10_1678    |      4
 S24_2887    | S18_1129    |      4
 S18_4409    | S18_2957    |      4
 S18_2238    | S12_3891    |      8
 S18_2432    | S18_3232    |     17
 S18_1749    | S18_2795    |     12
 S18_1984    | S18_4933    |      3
 S24_3816    | S18_3856    |     19
 S50_1514    | S24_3151    |      5
 S18_2625    | S700_2466   |      5
 S700_1691   | S10_1678    |      6
 S18_1662    | S32_4289    |      8
 S12_1108    | S72_3212    |      8
 S50_1341    | S18_1662    |     10
 S24_2841    | S700_3505   |      5
 S18_3320    | S24_2300    |      3
 S700_2824   | S12_1108    |      4
 S24_2841    | S24_2011    |      2
 S24_3856    | S24_3371    |     18
 S50_1514    | S12_4473    |      5
 S18_3856    | S700_4002   |     13
 S18_2325    | S50_4713    |      2
 S18_2325    | S18_2248    |     20
 S32_2509    | S12_1666    |      3
 S24_2840    | S24_4048    |     17
 S10_4962    | S24_2022    |      2
 S700_3962   | S700_1138   |     20
 S18_3136    | S12_1666    |     12
 S18_1129    | S24_2766    |      6
 S18_2319    | S12_3891    |      3
 S24_3432    | S24_2887    |     20
 S32_2509    | S18_2432    |     15
 S18_1367    | S18_3320    |     17
 S24_3191    | S24_3432    |     23
 S18_1129    | S18_1984    |     25
 S12_2823    | S24_3371    |      4
 S700_2610   | S24_1785    |      4
 S18_3232    | S18_2432    |     17
 S32_1374    | S24_4278    |     20
 S24_3420    | S18_3029    |     18
 S24_4278    | S24_2360    |      2
 S18_3029    | S18_3259    |      5
 S24_3371    | S18_1889    |     15
 S24_3856    | S12_1099    |     13
 S12_4675    | S18_4721    |      7
 S10_1949    | S18_2325    |      4
 S24_2887    | S24_3191    |     22
 S700_3962   | S50_1514    |      8
 S18_2319    | S18_3259    |      2
 S12_3148    | S50_1514    |     20
 S50_1341    | S700_3167   |     24
 S18_2581    | S10_4698    |     11
 S24_2841    | S72_1253    |     23
 S12_3380    | S18_2870    |      6
 S24_3969    | S18_2949    |      3
 S24_1444    | S700_2824   |      4
 S18_1097    | S24_3969    |      2
 S18_3782    | S18_1129    |      4
 S12_3148    | S18_4668    |      5
 S12_2823    | S700_1691   |      2
 S18_3140    | S700_1938   |     23
 S700_2610   | S50_1514    |      4
 S700_1938   | S32_3207    |      6
 S18_2432    | S18_4600    |     19
 S700_1938   | S10_4757    |      7
 S24_3856    | S50_4713    |      4
 S24_3151    | S10_4757    |     15
 S18_2625    | S32_4485    |      4
 S18_3029    | S72_3212    |     12
 S12_3148    | S700_3962   |      6
 S10_1678    | S10_4698    |     22
 S24_2841    | S24_3949    |     18
 S18_1749    | S18_3320    |      8
 S18_3259    | S18_2319    |      2
 S12_3891    | S12_1108    |     24
 S24_4258    | S32_3522    |     11
 S700_1938   | S18_3856    |      2
 S18_3856    | S700_3962   |      8
 S700_4002   | S700_1138   |      4
 S12_3990    | S18_1129    |      9
 S24_2766    | S18_3320    |      2
 S12_4473    | S32_2509    |     21
 S32_1268    | S18_2949    |      4
 S18_2319    | S24_4048    |     14
 S24_1046    | S18_1342    |      3
 S18_2795    | S24_2766    |      5
 S24_3816    | S700_4002   |     10
 S50_1341    | S18_3029    |      6
 S18_2248    | S24_1628    |     10
